f    ASD
9.999999999999999124e-06 6.280911575201313761e-14
1.019406140805151160e-05 5.929076939660231864e-14
1.039188879911249371e-05 5.596953946428081800e-14
1.059355525637954445e-05 5.283438185638382741e-14
1.079913528131197160e-05 4.987487126759150824e-14
1.100870482115498730e-05 4.708116651514135957e-14
1.122234129699664436e-05 4.444397781064261204e-14
1.144012363236962329e-05 4.195453586563870943e-14
1.166213228240770037e-05 3.960456272818311477e-14
1.188844926356840320e-05 3.738624425343067865e-14
1.211915818393208223e-05 3.529220411669991824e-14
1.235434427408936697e-05 3.331547928257337479e-14
1.259409441862763206e-05 3.144949684846236665e-14
1.283849718822888731e-05 2.968805218561795626e-14
1.308764287239019287e-05 2.802528830489889976e-14
1.334162351277930339e-05 2.645567637866861169e-14
1.360053293723761307e-05 2.497399735404574063e-14
1.386446679444271238e-05 2.357532459636121639e-14
1.413352258924400898e-05 2.225500750509580239e-14
1.440779971868363391e-05 2.100865604781481506e-14
1.468739950871682418e-05 1.983212616066023060e-14
1.497242525164446016e-05 1.872150596685151090e-14
1.526298224427247079e-05 1.767310276735816504e-14
1.555917782681131173e-05 1.668343076048319196e-14
1.586112142253079876e-05 1.574919944951325045e-14
1.616892457818399790e-05 1.486730269988646115e-14
1.648270100521610342e-05 1.403480840948246313e-14
1.680256662177249808e-05 1.324894875768456415e-14
1.712863959552254686e-05 1.250711100078269954e-14
1.746104038731394371e-05 1.180682878310837902e-14
1.779989179567455207e-05 1.114577393500331139e-14
1.814531900217786659e-05 1.052174873034524307e-14
1.849744961768847771e-05 9.932678577882902996e-15
1.885641372950552677e-05 9.376605122072048106e-15
1.922234394942045851e-05 8.851679730470325524e-15
1.959537546270795667e-05 8.356157346030336127e-15
1.997564607806702686e-05 7.888390683847379803e-15
2.036329627853186106e-05 7.446824753060587550e-15
2.075846927337001723e-05 7.029991685690723615e-15
2.116131105098843939e-05 6.636505855215538288e-15
2.157197043286552260e-05 6.265059268650149554e-15
2.199059912853021913e-05 5.914417216806984589e-15
2.241735179160811122e-05 5.583414168269870835e-15
2.285238607695461697e-05 5.270949893427559819e-15
2.329586269889767706e-05 4.975985805675410667e-15
2.374794549060990241e-05 4.697541507618595308e-15
2.420880146463373015e-05 4.434691530789458867e-15
2.467860087458031320e-05 4.186562258037582597e-15
2.515751727802654125e-05 3.952329018356454305e-15
2.564572760063189432e-05 3.731213344486033779e-15
2.614341220150030590e-05 3.522480384170150206e-15
2.665075493980967200e-05 3.325436456460219896e-15
2.716794324273519613e-05 3.139426744937670927e-15
2.769516817469001288e-05 2.963833120184242914e-15
2.823262450791038484e-05 2.798072084257791290e-15
2.878051079440985380e-05 2.641592830338239377e-15
2.933902943933028480e-05 2.493875411090305805e-15
2.990838677571639994e-05 2.354429009651791335e-15
3.048879314074081194e-05 2.222790307497505147e-15
3.108046295340914970e-05 2.098521943750545373e-15
3.168361479377222804e-05 1.981211060817605329e-15
3.229847148367634142e-05 1.870467931511179992e-15
3.292526016907965363e-05 1.765924663093374524e-15
3.356421240396704716e-05 1.667233973931054178e-15
3.421556423589236002e-05 1.574068038694305745e-15
3.487955629318178292e-05 1.486117398257405326e-15
3.555643387382846274e-05 1.403089930677362023e-15
3.624644703611294580e-05 1.324709879827619501e-15
3.694985069098212933e-05 1.250716938456640080e-15
3.766690469622063623e-05 1.180865382621990279e-15
3.839787395244970754e-05 1.114923254621326439e-15
3.914302850098930306e-05 1.052671591703009009e-15
3.990264362361954799e-05 9.939036979913417813e-16
4.067699994427718914e-05 9.384244572052249238e-16
4.146638353272695917e-05 8.860496838844058536e-16
4.227108601024337026e-05 8.366055109659702563e-16
4.309140465734480753e-05 7.899278116741913137e-16
4.392764252361689364e-05 7.458616538013545027e-16
4.478010853966854683e-05 7.042607845645388072e-16
4.564911763125920801e-05 6.649871443253607359e-16
4.653499083564233293e-05 6.279104075553454031e-16
4.743805542016522430e-05 5.929075495205170808e-16
4.835864500317141117e-05 5.598624372440548137e-16
4.929709967724927563e-05 5.286654433867786615e-16
5.025376613487144025e-05 4.992130817614284032e-16
5.122899779647388817e-05 4.714076632685092100e-16
5.222315494101892943e-05 4.451569711096113282e-16
5.323660483909356728e-05 4.203739541979916363e-16
5.426972188858909238e-05 3.969764377469311577e-16
5.532288775301544406e-05 3.748868500733232297e-16
5.639649150249791501e-05 3.540319647080444498e-16
5.749092975751189996e-05 3.343426569554034550e-16
5.860660683540522997e-05 3.157536740921684496e-16
5.974393489976511420e-05 2.982034184419010252e-16
6.090333411268360832e-05 2.816337426032288783e-16
6.208523278997750655e-05 2.659897561510871506e-16
6.329006755942040495e-05 2.512196431680982648e-16
6.451828352204590960e-05 2.372744899992815825e-16
6.577033441658138371e-05 2.241081226572960047e-16
6.704668278707130236e-05 2.116769533375170093e-16
6.834780015375551082e-05 1.999398355325029338e-16
6.967416718726148243e-05 1.888579272640724893e-16
7.102627388617911101e-05 1.783945619781344103e-16
7.240461975807939020e-05 1.685151266729704688e-16
7.380971400404810333e-05 1.591869468556551947e-16
7.524207570679843755e-05 1.503791779440716848e-16
7.670223402243641058e-05 1.420627027533547508e-16
7.819072837594544982e-05 1.342100347258868436e-16
7.970810866046620750e-05 1.267952266078227274e-16
8.125493544044350819e-05 1.197937240775934631e-16
8.283178015871404596e-05 1.131824297909705743e-16
8.443922534761537379e-05 1.069396928026196891e-16
8.607786484418890826e-05 1.010447442253526867e-16
8.774830400956200489e-05 9.547808389351302741e-17
8.945115995258459208e-05 9.022169061284184749e-17
9.118706175780853600e-05 8.525750123285537554e-17
9.295665071788839569e-05 8.056989858871978082e-17
9.476058057049497978e-05 7.614304429819837319e-17
9.659951773982367084e-05 7.196250351931400470e-17
9.847414158279238483e-05 6.801457005066276524e-17
1.003851446400143299e-04 6.428608995713187533e-17
1.023332328916438201e-04 6.076473354554142668e-17
1.043191260181852687e-04 5.743900340242219988e-17
1.063435576663643620e-04 5.429813130101635556e-17
